"GID","GeneticGroup","BRNHT1","DM","DM_white","DM_yellow","HI","logFYLD","logFYLD_lowCMD","logFYLD_nohav5","logFYLD_propHAVpt5","logFYLD_propHAVpt75","logRTNO","logRTNO_lowCMD","logRTNO_nohav5","logRTNO_propHAVpt5","logRTNO_propHAVpt75","logTOPYLD","logTOPYLD_lowCMD","logTOPYLD_nohav5","logTOPYLD_propHAVpt5","logTOPYLD_propHAVpt75","MCMDS","PLTHT","RTSZ","TCHART"
"TMS18F1188P0032_A18311","TMS18F",6.36921476409396,-3.04055321138066,-2.48300346181894,-0.550952649365756,0.00308572603591278,0.0580996933946094,NA,NA,NA,NA,0.0674508078320868,NA,NA,NA,NA,0.0244308734639318,NA,NA,NA,NA,0.53789039254609,-3.32635723454456,-0.130048283051435,0.197122954863978
"TMS18F1188P0037_A17986","TMS18F",2.86779194835598,-3.95917901073317,-3.19596324264923,-1.86943885287803,-0.0226027543272353,0.00136402457129861,NA,NA,NA,NA,-0.0756722354282855,NA,NA,NA,NA,0.0104447006169773,NA,NA,NA,NA,0.451426133270747,-0.067879602981811,0.160437591824243,0.610761128654239
"TMS18F1189P0005_A17720","TMS18F",6.51546526712821,1.474528506152,1.68547142792764,3.92815803159141,-0.0446158931672515,0.0230482287985062,NA,NA,NA,NA,0.0925447970923981,NA,NA,NA,NA,0.192494572387972,NA,NA,NA,NA,-0.0380739924289768,2.22645559021695,-0.166583865525611,-0.219156656395201
"TMS18F1189P0008_A17535","TMS18F",-10.2137800432741,-0.694351501886544,-0.228300612573377,-0.612675572080743,-0.0853923128607879,-0.128472376350418,NA,NA,NA,NA,-0.159043976203633,NA,NA,NA,NA,0.0764580006666031,NA,NA,NA,NA,0.380761580319705,-13.6779341944786,-0.234234883254588,0.752988717396065
"TMS18F1189P0021_A18853","TMS18F",4.12296233744845,1.19695827148246,1.69427811284105,2.73498575775392,-0.0104760877647905,-0.0129532637330284,NA,NA,NA,NA,0.0265759719278971,NA,NA,NA,NA,0.0481513645947668,NA,NA,NA,NA,-0.313654310873801,-0.966197030844214,-0.00341139795672696,-0.208902625053466
"TMS18F1191P0013_A18841","TMS18F",2.60488215079369,1.83355165950713,1.82556814816963,0.357726941572678,-0.016267788688172,0.127381268162467,NA,NA,NA,NA,0.114680506009548,NA,NA,NA,NA,0.164966177513224,NA,NA,NA,NA,-0.29025394490506,9.20633430799725,0.098971182058262,-0.147432080198463
"TMS18F1192P0009_A17666","TMS18F",5.99878609939543,4.17544667979622,3.58656335021586,0.185870392453608,-0.0132744854403145,0.157317245326697,NA,NA,NA,NA,0.105257458727314,NA,NA,NA,NA,0.168079699477761,NA,NA,NA,NA,0.013973419577389,10.86414268115,0.0977272257914722,-0.0572773904499533
"TMS18F1192P0021_A18859","TMS18F",11.6880882351102,6.09698875578827,4.81750462148505,0.932692027148398,-0.0931748318229495,0.087031670284267,NA,NA,NA,NA,0.114160252245182,NA,NA,NA,NA,0.356580457647258,NA,NA,NA,NA,-0.524015111791741,14.6572344790185,-0.153872813196148,0.00906255473587231
"TMS18F1192P0023_A17707","TMS18F",8.3640949586023,3.67833414811548,2.43159600348758,2.51324060338955,-0.0778073638695284,0.0552180678283149,NA,NA,NA,NA,0.0398194783531536,NA,NA,NA,NA,0.328812040038222,NA,NA,NA,NA,-0.505686543065913,9.23690354242683,-0.249511189024149,-0.00814846027485006
"TMS18F1193P0003_A17501","TMS18F",7.61616531021687,-1.31651777462099,-1.09260631814197,1.9719516480581,0.0643859640595098,0.155353476320358,NA,NA,NA,NA,0.202171564919133,NA,NA,NA,NA,-0.0326850220949132,NA,NA,NA,NA,0.0845462790136279,-5.28928706101133,0.0864095302222704,-0.00542199159486115
"TMS18F1193P0013_A17708","TMS18F",4.73365315845396,-3.24082586446622,-2.91932149766808,-0.472405605086155,0.0274759080358253,0.0638799710732693,NA,NA,NA,NA,0.105148110017366,NA,NA,NA,NA,-0.0645359096050049,NA,NA,NA,NA,-0.0986176950688402,-9.78002140737464,0.0577733446420075,0.01077223509611
"TMS18F1193P0017_A17698","TMS18F",8.83152577558494,-3.65659599271541,-3.4770903695178,0.353260599247267,0.045431157077986,0.0830903847455328,NA,NA,NA,NA,0.121975794136856,NA,NA,NA,NA,-0.00697868712901569,NA,NA,NA,NA,-0.236585145378011,-6.64033080742327,0.132282870339158,-0.21903149718745
"TMS18F1194P0001_A17536","TMS18F",7.05933867541877,4.82828295429537,3.96079735914651,2.37324708152948,-0.0512651599515856,-0.0277517615664875,NA,NA,NA,NA,0.0351443651801153,NA,NA,NA,NA,0.184137889561501,NA,NA,NA,NA,0.16526818487731,-0.614923846349691,-0.26365650221949,0.00659602536866736
"TMS18F1194P0007_A18857","TMS18F",3.96181179925473,0.448832780190659,-0.637950859313809,-0.0436808942206227,-0.00127291257436648,0.167241187563316,NA,NA,NA,NA,0.104528812209334,NA,NA,NA,NA,0.155648161711593,NA,NA,NA,NA,-0.456543284421898,8.76768265387377,0.165782771251623,-0.0326201043042138
"TMS18F1194P0017_A17502","TMS18F",6.03638978154746,2.71533067938177,1.33400816364913,1.64085144914039,0.00405088327487688,0.0646032344638332,NA,NA,NA,NA,0.0690775817311459,NA,NA,NA,NA,0.0156639790278217,NA,NA,NA,NA,-0.0738505717164231,6.31346169581478,-0.280614023091268,-0.253663112646485
"TMS18F1195P0005_A17704","TMS18F",-0.532198569019696,-4.48818575446618,-3.94896327835451,-0.141087048943933,-0.000995537525862305,-0.0404689142213558,NA,NA,NA,NA,0.0793543697429048,NA,NA,NA,NA,0.0216016068623418,NA,NA,NA,NA,0.607740374043594,-7.08249918781498,-0.195554024498981,-0.151384302011172
